param Kdim := 2;
param n := 24;
param : E : c I :=
1 9 1 1
1 11 1 1
1 17 1 1
1 19 1 1
1 23 1 1
1 24 1 1
2 3 1 1
2 10 1 1
2 14 1 1
2 18 1 1
2 21 1 1
2 22 1 1
3 4 1 1
3 5 1 1
3 10 1 1
3 12 1 1
3 14 2 1
3 16 1 1
3 18 1 1
4 5 1 1
4 12 1 1
4 14 1 1
4 16 1 1
5 7 1 1
5 8 1 1
5 10 1 1
5 12 2 1
5 13 1 1
5 14 1 1
5 16 2 1
5 22 1 1
6 11 1 1
6 23 1 1
6 24 1 1
7 8 1 1
7 12 1 1
7 15 1 1
7 16 1 1
7 20 1 1
8 15 1 1
8 16 1 1
8 19 1 1
8 20 1 1
9 11 1 1
9 15 1 1
9 17 1 1
9 19 1 1
9 20 1 1
10 12 1 1
10 14 1 1
10 16 1 1
11 17 1 1
11 23 1 1
11 24 1 1
12 13 1 1
12 14 1 1
12 16 2 1
12 21 1 1
12 22 1 1
13 16 1 1
13 18 1 1
13 21 1 1
13 22 1 1
14 16 1 1
14 18 1 1
14 21 1 1
15 17 1 1
15 19 1 1
15 20 1 1
16 20 1 1
17 19 1 1
17 23 1 1
18 21 1 1
18 22 1 1
19 20 1 1
21 22 1 1
23 24 1 1
;
