# DGP instance generated by rndgraph.run
param Kdim := 3;
param n := 50;
param : E : c I :=
 1 2  0.98291 1
 2 3  0.42371 1
 3 4  0.86884 1
 4 5  0.12882 1
 5 6  0.00065 1
 6 7  0.97797 1
 7 8  0.13759 1
 8 9  0.52055 1
 9 10  0.98979 1
 10 11  0.35367 1
 11 12  0.73429 1
 12 13  0.15984 1
 13 14  0.30620 1
 14 15  0.71669 1
 15 16  0.04512 1
 16 17  0.07493 1
 17 18  0.63556 1
 18 19  0.84751 1
 19 20  0.71342 1
 20 21  0.98410 1
 21 22  0.59158 1
 22 23  0.91034 1
 23 24  0.25115 1
 24 25  0.38512 1
 25 26  0.35502 1
 26 27  0.17011 1
 27 28  0.82371 1
 28 29  0.55187 1
 29 30  0.30165 1
 30 31  0.80367 1
 31 32  0.31106 1
 32 33  0.38171 1
 33 34  0.77061 1
 34 35  0.09684 1
 35 36  0.75114 1
 36 37  0.32699 1
 37 38  0.34589 1
 38 39  0.48793 1
 39 40  0.28637 1
 40 41  0.48697 1
 41 42  0.42278 1
 42 43  0.41372 1
 43 44  0.10162 1
 44 45  0.59739 1
 45 46  0.47820 1
 46 47  0.11562 1
 47 48  0.29051 1
 48 49  0.85702 1
 49 50  0.18770 1
 1 50  0.30444 1
 1 7  0.70035 1
 1 17  0.54691 1
 1 18  0.23712 1
 1 32  0.33716 1
 1 47  0.62525 1
 2 4  0.90731 1
 2 10  0.38564 1
 2 20  0.37015 1
 2 21  0.72651 1
 2 28  0.12451 1
 2 36  0.62586 1
 3 13  0.39433 1
 3 17  0.07271 1
 3 28  0.13876 1
 3 29  0.74070 1
 3 40  0.80436 1
 3 44  0.53344 1
 4 11  0.53676 1
 4 21  0.35450 1
 4 24  0.66986 1
 4 25  0.38367 1
 4 37  0.78094 1
 4 40  0.98328 1
 5 39  0.19725 1
 5 50  0.48237 1
 6 16  0.66670 1
 6 38  0.42399 1
 7 10  0.85504 1
 7 12  0.06197 1
 7 18  0.23118 1
 7 49  0.59515 1
 8 27  0.65269 1
 8 32  0.97058 1
 8 48  0.64051 1
 9 40  0.55301 1
 9 43  0.28858 1
 9 47  0.24659 1
 9 48  0.00176 1
 10 12  0.59439 1
 10 23  0.03711 1
 10 28  0.94196 1
 11 30  0.48614 1
 11 40  0.10916 1
 12 22  0.76273 1
 12 24  0.18541 1
 12 31  0.63547 1
 12 49  0.60067 1
 13 31  0.37126 1
 13 45  0.74338 1
 14 19  0.07465 1
 14 21  0.29232 1
 14 33  0.59564 1
 14 50  0.01419 1
 15 25  0.32627 1
 15 35  0.32571 1
 15 50  0.89001 1
 16 31  0.41161 1
 16 36  0.92171 1
 16 38  0.23468 1
 16 47  0.48753 1
 17 29  0.28694 1
 17 31  0.59904 1
 17 34  0.20749 1
 17 37  0.85055 1
 17 47  0.83915 1
 18 20  0.38534 1
 18 25  0.59680 1
 18 36  0.12587 1
 18 37  0.86772 1
 19 26  0.75113 1
 19 30  0.64987 1
 19 34  0.84185 1
 19 39  0.84892 1
 19 40  0.30682 1
 19 43  0.60679 1
 20 28  0.84977 1
 20 36  0.67734 1
 20 41  0.75893 1
 21 27  0.86847 1
 21 28  0.78345 1
 21 44  0.78252 1
 22 25  0.40628 1
 22 36  0.21314 1
 22 41  0.31808 1
 22 48  0.49590 1
 22 50  0.28328 1
 23 29  0.40618 1
 23 35  0.65343 1
 23 40  0.67233 1
 24 35  0.32213 1
 24 38  0.56804 1
 24 40  0.58589 1
 25 49  0.44416 1
 26 43  0.46293 1
 26 46  0.16758 1
 26 48  0.87590 1
 26 50  0.70293 1
 27 36  0.73491 1
 28 31  0.94083 1
 28 34  0.82941 1
 28 36  0.00539 1
 29 35  0.40812 1
 29 40  0.74093 1
 30 32  0.51292 1
 30 45  0.73684 1
 31 40  0.81814 1
 31 43  0.46951 1
 33 39  0.61003 1
 33 45  0.03878 1
 33 50  0.56744 1
 34 40  0.99465 1
 35 49  0.72572 1
 36 44  0.42672 1
 36 48  0.50491 1
 38 41  0.00074 1
 38 43  0.72700 1
 39 50  0.75164 1
 40 45  0.88105 1
 42 50  0.04527 1
 43 47  0.46546 1
 46 49  0.36685 1
;
