# tiny graph .dat

param Kdim := 3;
param n := 38;
param : E : c I :=
1 2 1.22664 1
1 3 1.39515 1
1 4 2.47463 1
1 5 3.6222 1
1 6 3.63798 1
1 7 2.52213 1
1 8 3.14195 1
1 9 3.08184 1
1 10 4.54867 1
1 11 2.82026 1
1 12 4.0627 1
1 13 3.98525 1
1 14 2.98023 1
1 15 4.53928 1
1 16 2.7638 1
1 17 4.34809 1
1 22 4.94446 1
1 25 4.72587 1
1 29 3.08679 1
1 30 4.11506 1
1 32 3.98568 1
1 37 3.31114 1
2 3 2.31605 1
2 4 2.80393 1
2 5 4.20491 1
2 6 4.53685 1
2 7 3.63805 1
2 8 3.21547 1
2 9 3.28287 1
2 10 4.99467 1
2 11 3.97857 1
2 12 4.88936 1
2 13 4.58428 1
2 14 4.12092 1
2 16 2.71423 1
2 17 4.21612 1
2 21 4.97502 1
2 22 4.55497 1
2 25 4.57796 1
2 29 2.88229 1
2 30 2.96872 1
2 31 4.18956 1
2 32 2.81522 1
2 33 4.8974 1
2 34 4.37386 1
2 35 4.78031 1
2 37 2.20559 1
3 4 1.4833 1
3 5 2.30291 1
3 6 2.27031 1
3 7 1.41421 1
3 8 2.45626 1
3 9 2.61842 1
3 10 3.26928 1
3 11 2.08722 1
3 12 2.80505 1
3 13 2.76567 1
3 14 2.10246 1
3 15 3.19931 1
3 16 2.17802 1
3 17 3.66899 1
3 18 4.93158 1
3 22 4.9545 1
3 23 4.89571 1
3 25 3.9573 1
3 29 3.92743 1
3 30 4.71262 1
3 32 4.87787 1
3 37 4.39445 1
4 5 1.51286 1
4 6 2.32698 1
4 7 2.42538 1
4 8 1.51982 1
4 9 2.35373 1
4 10 2.19082 1
4 11 3.22407 1
4 12 2.75116 1
4 13 2.21084 1
4 14 3.12307 1
4 15 3.30412 1
4 16 1.06535 1
4 17 2.42194 1
4 18 3.84033 1
4 19 4.55903 1
4 21 4.44583 1
4 22 4.46976 1
4 23 4.06172 1
4 25 2.51925 1
4 26 4.42835 1
4 29 4.54088 1
4 30 4.22369 1
4 32 4.75607 1
4 37 4.58502 1
5 6 1.49676 1
5 7 2.373 1
5 8 2.50492 1
5 9 3.28243 1
5 10 1.09305 1
5 11 3.3039 1
5 12 2.17752 1
5 13 1.10034 1
5 14 2.85998 1
5 15 2.14864 1
5 16 2.14637 1
5 17 3.06474 1
5 18 4.46569 1
5 19 4.82643 1
5 23 4.10922 1
5 25 2.89999 1
5 26 4.939 1
6 7 1.51372 1
6 8 2.99419 1
6 9 3.22883 1
6 10 2.13333 1
6 11 2.16357 1
6 12 1.09421 1
6 13 2.12314 1
6 14 2.16275 1
6 15 1.09274 1
6 16 3.27244 1
6 17 3.84852 1
6 23 4.15158 1
6 25 4.00061 1
7 8 3.30179 1
7 9 3.28487 1
7 10 3.3345 1
7 11 1.09322 1
7 12 2.17669 1
7 13 2.73503 1
7 14 1.10069 1
7 15 2.15745 1
7 16 3.28908 1
7 17 4.4641 1
7 25 4.73509 1
7 29 4.76775 1
8 9 1.22098 1
8 10 2.65321 1
8 11 3.73427 1
8 12 2.83113 1
8 13 3.47838 1
8 14 4.25246 1
8 15 4.04177 1
8 16 2.0986 1
8 17 1.31631 1
8 18 2.4768 1
8 19 3.19456 1
8 20 4.36446 1
8 21 3.01874 1
8 22 3.05667 1
8 23 2.85436 1
8 24 3.74771 1
8 25 1.99602 1
8 26 3.25851 1
8 27 4.99615 1
8 29 4.03021 1
8 30 4.19425 1
8 37 4.96245 1
9 10 3.53636 1
9 11 3.34386 1
9 12 2.80047 1
9 13 4.29421 1
9 14 4.34913 1
9 15 4.28616 1
9 16 3.09249 1
9 17 2.24588 1
9 18 2.85763 1
9 19 3.2343 1
9 20 4.59724 1
9 21 2.99302 1
9 22 2.57059 1
9 23 2.84704 1
9 24 3.45012 1
9 25 3.11775 1
9 26 3.84434 1
9 29 3.19803 1
9 30 4.70521 1
10 11 4.14485 1
10 12 2.41745 1
10 13 1.78008 1
10 14 3.87931 1
10 15 2.59593 1
10 16 2.67646 1
10 17 2.74875 1
10 18 4.02352 1
10 19 4.24984 1
10 20 4.80905 1
10 23 3.5559 1
10 25 2.42498 1
10 26 4.3521 1
11 12 2.37517 1
11 13 3.78844 1
11 14 1.77973 1
11 15 2.70229 1
11 16 4.15013 1
11 17 4.96147 1
11 29 4.43275 1
12 13 3.048 1
12 14 3.03956 1
12 15 1.7401 1
12 16 3.78005 1
12 17 3.61082 1
12 18 4.56624 1
12 19 4.30712 1
12 23 3.32359 1
12 24 4.82203 1
12 25 3.96124 1
13 14 2.79225 1
13 15 2.36305 1
13 16 2.4774 1
13 17 3.97613 1
13 25 3.62116 1
14 15 2.35604 1
14 16 3.78316 1
15 16 4.14653 1
15 17 4.77371 1
15 23 4.84233 1
15 25 4.81056 1
16 17 2.61951 1
16 18 4.03988 1
16 21 4.5925 1
16 22 4.7691 1
16 23 4.71411 1
16 25 2.44235 1
16 26 4.43749 1
16 29 4.91663 1
16 30 3.50287 1
16 32 4.05749 1
16 34 4.50682 1
16 37 4.04102 1
16 38 4.7638 1
17 18 1.4871 1
17 19 2.49463 1
17 20 3.41582 1
17 21 2.50089 1
17 22 3.05647 1
17 23 2.46852 1
17 24 3.2731 1
17 25 1.00938 1
17 26 2.02615 1
17 27 4.18349 1
17 30 4.34472 1
17 38 4.90132 1
18 19 1.56062 1
18 20 2.46837 1
18 21 1.4786 1
18 22 2.39158 1
18 23 2.17551 1
18 24 2.17525 1
18 25 2.15719 1
18 26 1.06099 1
18 27 3.2995 1
18 30 4.94293 1
19 20 1.43295 1
19 21 2.48499 1
19 22 3.02112 1
19 23 1.07857 1
19 24 1.08716 1
19 25 3.14211 1
19 26 2.11769 1
19 27 1.97976 1
20 21 3.51673 1
20 22 4.27877 1
20 23 2.05248 1
20 24 2.06491 1
20 25 3.72761 1
20 26 2.39208 1
20 27 0.9386 1
21 22 1.21766 1
21 23 3.17968 1
21 24 2.44329 1
21 25 3.291 1
21 26 2.11367 1
21 27 4.24633 1
21 29 4.55945 1
21 30 4.53563 1
21 38 4.78725 1
22 23 3.4697 1
22 24 2.68646 1
22 25 3.98982 1
22 26 3.24304 1
22 27 4.86097 1
22 29 3.53689 1
22 30 4.65233 1
23 24 1.76166 1
23 25 3.09884 1
23 26 2.84725 1
23 27 2.33709 1
24 25 4.05912 1
24 26 2.82596 1
24 27 2.32623 1
25 26 2.23205 1
25 27 4.52605 1
25 30 4.42701 1
25 38 4.76247 1
26 27 3.32451 1
26 38 4.91122 1
28 29 1.00000 1
29 30 4.65386 1
29 32 4.72458 1
29 37 4.17803 1
30 31 2.27553 1
30 32 1.37801 1
30 33 2.24328 1
30 34 1.41365 1
30 35 3.30776 1
30 36 3.35201 1
30 37 2.15684 1
30 38 2.1609 1
31 32 1.403 1
31 33 1.35412 1
31 34 2.26103 1
31 35 1.07467 1
31 36 2.21585 1
31 37 2.15821 1
31 38 3.25814 1
32 33 2.20187 1
32 34 2.24043 1
32 35 2.20974 1
32 36 3.31351 1
32 37 1.03447 1
32 38 3.22346 1
33 34 1.38871 1
33 35 2.18903 1
33 36 1.14829 1
33 37 3.19409 1
33 38 2.19049 1
34 35 3.30468 1
34 36 2.24642 1
34 37 3.24446 1
34 38 1.02609 1
35 36 2.67187 1
35 37 2.60782 1
35 38 4.27445 1
36 37 4.26751 1
36 38 2.69704 1
37 38 4.19558 1
;
