# 1guu-1 graph .dat

param Kdim := 3;
param n := 150;
param : E : c I :=
1 2 1.49 1
1 3 2.48979 1
1 4 2.74218 1
1 5 4.1497 1
1 6 4.67876 1
2 3 1.51992 1
2 4 2.41452 1
2 5 3.77794 1
2 6 4.5164 1
3 4 1.32258 1
3 5 2.40652 1
3 6 3.21172 1
3 7 3.97739 1
4 5 1.45265 1
4 6 2.41596 1
4 7 3.46562 1
4 8 4.70699 1
5 6 1.42329 1
5 7 2.31247 1
5 8 3.69268 1
5 9 4.34593 1
6 7 1.31875 1
6 8 2.42379 1
6 9 3.05857 1
6 10 4.13805 1
7 8 1.46876 1
7 9 2.43999 1
7 10 3.63833 1
7 11 4.83686 1
8 9 1.52539 1
8 10 2.43343 1
8 11 3.8003 1
8 12 4.55129 1
9 10 1.364 1
9 11 2.43156 1
9 12 3.23019 1
9 13 4.05922 1
10 11 1.46779 1
10 12 2.46873 1
10 13 3.56525 1
10 14 4.81056 1
11 12 1.51423 1
11 13 2.4265 1
11 14 3.80421 1
11 15 4.56451 1
12 13 1.31703 1
12 14 2.43297 1
12 15 3.29504 1
12 16 4.39864 1
13 14 1.45754 1
13 15 2.43089 1
13 16 3.65043 1
13 17 4.8614 1
13 22 4.80256 1
13 23 4.98399 1
14 15 1.52227 1
14 16 2.44975 1
14 17 3.82233 1
14 18 4.39321 1
14 19 4.27165 1
14 22 4.50304 1
15 16 1.34609 1
15 17 2.44895 1
15 18 3.00633 1
15 19 3.18528 1
15 20 4.37684 1
15 21 4.50417 1
15 22 3.71556 1
15 23 4.41811 1
15 24 4.88894 1
15 25 4.19335 1
16 17 1.45746 1
16 18 2.44311 1
16 19 2.73575 1
16 20 4.15222 1
16 21 4.6918 1
16 22 4.25921 1
16 25 4.81961 1
17 18 1.55524 1
17 19 2.44114 1
17 20 3.8208 1
17 21 4.43525 1
17 22 4.33366 1
17 25 4.48294 1
18 19 1.30421 1
18 20 2.40933 1
18 21 3.008 1
18 22 3.21163 1
18 23 4.31722 1
18 24 4.4533 1
18 25 3.73703 1
18 26 4.47519 1
18 27 4.84056 1
18 28 4.11325 1
19 20 1.46184 1
19 21 2.46019 1
19 22 2.76236 1
19 23 4.12407 1
19 24 4.64896 1
19 25 4.25936 1
19 28 4.8114 1
20 21 1.52946 1
20 22 2.4308 1
20 23 3.79063 1
20 24 4.40272 1
20 25 4.37655 1
20 28 4.57756 1
21 22 1.33283 1
21 23 2.42075 1
21 24 3.03473 1
21 25 3.31857 1
21 26 4.48401 1
21 27 4.59033 1
21 28 3.85567 1
21 29 4.56489 1
21 30 4.87716 1
21 31 4.09355 1
21 32 4.98074 1
22 23 1.44598 1
22 24 2.45344 1
22 25 2.77376 1
22 26 4.15849 1
22 27 4.68229 1
22 28 4.29002 1
22 31 4.77162 1
23 24 1.44903 1
23 25 2.28859 1
23 26 3.64507 1
23 27 4.29049 1
23 28 4.26906 1
23 31 4.49604 1
23 34 4.97307 1
24 25 1.29035 1
24 26 2.35858 1
24 27 2.96589 1
24 28 3.22843 1
24 29 4.39648 1
24 30 4.47229 1
24 31 3.77993 1
24 32 4.49531 1
